Code Domaine,Domaine,Code zone (M49),Zone,Code de devise ISO (FAO),Devise,Code Élément,Élément,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PE","Taux de change","212","Dominique","XCD","East Caribbean Dollar","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","2.7","X","Ciffre de sources internationales"
"PE","Taux de change","212","Dominique","XCD","East Caribbean Dollar","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","2.7","X","Ciffre de sources internationales"
"PE","Taux de change","818","Égypte","EGP","Egyptian Pound","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","17.7825335150636","X","Ciffre de sources internationales"
"PE","Taux de change","818","Égypte","EGP","Egyptian Pound","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","17.78253352","X","Ciffre de sources internationales"
"PE","Taux de change","222","El Salvador","USD","US Dollar","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","1","X","Ciffre de sources internationales"
"PE","Taux de change","222","El Salvador","USD","US Dollar","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1","X","Ciffre de sources internationales"
"PE","Taux de change","784","Émirats arabes unis","AED","UAE Dirham","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","3.6725","X","Ciffre de sources internationales"
"PE","Taux de change","784","Émirats arabes unis","AED","UAE Dirham","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","3.6725","X","Ciffre de sources internationales"
"PE","Taux de change","218","Équateur","USD","US Dollar","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","1","X","Ciffre de sources internationales"
"PE","Taux de change","218","Équateur","USD","US Dollar","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1","X","Ciffre de sources internationales"
"PE","Taux de change","232","Érythrée","ERN","Nakfa","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","15.075","X","Ciffre de sources internationales"
"PE","Taux de change","232","Érythrée","ERN","Nakfa","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","15.075","X","Ciffre de sources internationales"
"PE","Taux de change","724","Espagne","EUR","Euro","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","0.8852055083","X","Ciffre de sources internationales"
"PE","Taux de change","724","Espagne","EUR","Euro","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","0.885205508","X","Ciffre de sources internationales"
"PE","Taux de change","233","Estonie","EUR","Euro","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","0.88520550826938","X","Ciffre de sources internationales"
"PE","Taux de change","233","Estonie","EUR","Euro","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","0.885205508","X","Ciffre de sources internationales"
"PE","Taux de change","748","Eswatini","SZL","Lilangeni","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","13.3238014244992","X","Ciffre de sources internationales"
"PE","Taux de change","748","Eswatini","SZL","Lilangeni","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","13.33378146","X","Ciffre de sources internationales"
"PE","Taux de change","840","États-Unis d'Amérique","USD","US Dollar","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","1","X","Ciffre de sources internationales"
"PE","Taux de change","840","États-Unis d'Amérique","USD","US Dollar","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","1","X","Ciffre de sources internationales"
"PE","Taux de change","231","Éthiopie","ETB","Ethiopian Birr","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","23.8661044574125","X","Ciffre de sources internationales"
"PE","Taux de change","231","Éthiopie","ETB","Ethiopian Birr","SLC","Unités de monnaie locale standardisée par USD","2017","2017","7021","Valeur annuel","","23.86610446","X","Ciffre de sources internationales"
"PE","Taux de change","643","Fédération de Russie","RUB","Russian Ruble","LCU","Unités de monnaie locale par USD","2017","2017","7021","Valeur annuel","","58.3428011851719","X","Ciffre de sources internationales"
